,timeStamp,volume
61,2020-08-08 21:00:00,"{'eth': '367.81151191930394', 'usd': '143471.209659', 'eur': '122016.00606100001'}"
62,2020-08-08 22:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
63,2020-08-08 23:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
64,2020-08-09 00:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
65,2020-08-09 01:00:00,"{'eth': '120.1514044742123', 'usd': '47507.820839', 'eur': '40346.578459'}"
66,2020-08-09 02:00:00,"{'eth': '133.94416441503202', 'usd': '53087.132342', 'eur': '45086.094231'}"
67,2020-08-09 03:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
68,2020-08-09 04:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
69,2020-08-09 05:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
70,2020-08-09 06:00:00,"{'eth': '254.8926848680732', 'usd': '100322.972312', 'eur': '85261.874919'}"
71,2020-08-09 07:00:00,"{'eth': '285.975965690576', 'usd': '112688.059716', 'eur': '95776.01872200001'}"
72,2020-08-09 08:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
73,2020-08-09 09:00:00,"{'eth': '0.83006', 'usd': '324.287841', 'eur': '275.604822'}"
74,2020-08-09 10:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
75,2020-08-09 11:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
76,2020-08-09 12:00:00,"{'eth': '0.035', 'usd': '13.6325', 'eur': '11.59095'}"
77,2020-08-09 13:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
78,2020-08-09 14:00:00,"{'eth': '111.99472089428912', 'usd': '43346.118827', 'eur': '36901.409281'}"
79,2020-08-09 15:00:00,"{'eth': '0.2', 'usd': '77.372', 'eur': '65.84'}"
80,2020-08-09 16:00:00,"{'eth': '247.70398302797088', 'usd': '96617.271485', 'eur': '82108.391632'}"
81,2020-08-09 17:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
82,2020-08-09 18:00:00,"{'eth': '195.37620566688668', 'usd': '75881.70132600001', 'eur': '64517.189291'}"
83,2020-08-09 19:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
84,2020-08-09 20:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
85,2020-08-09 21:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
86,2020-08-09 22:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
87,2020-08-09 23:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
88,2020-08-10 00:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
89,2020-08-10 01:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
90,2020-08-10 02:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
91,2020-08-10 03:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
92,2020-08-10 04:00:00,"{'eth': '247.97972533083907', 'usd': '98290.325029', 'eur': '83449.05069199999'}"
93,2020-08-10 05:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
94,2020-08-10 06:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
95,2020-08-10 07:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
96,2020-08-10 08:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
97,2020-08-10 09:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
98,2020-08-10 10:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
99,2020-08-10 11:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
100,2020-08-10 12:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
101,2020-08-10 13:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
102,2020-08-10 14:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
103,2020-08-10 15:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
104,2020-08-10 16:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
105,2020-08-10 17:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
106,2020-08-10 18:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
107,2020-08-10 19:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
108,2020-08-10 20:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
109,2020-08-10 21:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
110,2020-08-10 22:00:00,"{'eth': '3.325890623663844', 'usd': '1307.440863', 'eur': '1114.406171'}"
111,2020-08-10 23:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
112,2020-08-11 00:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
113,2020-08-11 01:00:00,"{'eth': '6', 'usd': '2379.6', 'eur': '2028.36'}"
114,2020-08-11 02:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
115,2020-08-11 03:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
116,2020-08-11 04:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
117,2020-08-11 05:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
118,2020-08-11 06:00:00,"{'eth': '16.25871323771409', 'usd': '6377.642855', 'eur': '5442.279082'}"
119,2020-08-11 07:00:00,"{'eth': '58.62931135559616', 'usd': '22954.702869999997', 'eur': '19588.756993'}"
120,2020-08-11 08:00:00,"{'eth': '101.10457447496779', 'usd': '39452.743323999995', 'eur': '33583.242625'}"
121,2020-08-11 09:00:00,"{'eth': '0.002305594574355287', 'usd': '0.902525', 'eur': '0.767071'}"
122,2020-08-11 10:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
123,2020-08-11 11:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
124,2020-08-11 12:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
125,2020-08-11 13:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
126,2020-08-11 14:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
127,2020-08-11 15:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
128,2020-08-11 16:00:00,"{'eth': '309.8430948457376', 'usd': '118601.670056', 'eur': '100929.49526299999'}"
129,2020-08-11 17:00:00,"{'eth': '58.680608135829104', 'usd': '22631.996846000002', 'eur': '19279.851822'}"
130,2020-08-11 18:00:00,"{'eth': '137.3534942622108', 'usd': '52701.500065', 'eur': '44899.837658000004'}"
131,2020-08-11 19:00:00,"{'eth': '27.825709640162977', 'usd': '10560.69158', 'eur': '9020.260294'}"
132,2020-08-11 20:00:00,"{'eth': '19.634245927915646', 'usd': '7418.996166', 'eur': '6326.743065'}"
133,2020-08-11 21:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
134,2020-08-11 22:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
135,2020-08-11 23:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
136,2020-08-12 00:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
137,2020-08-12 01:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
138,2020-08-12 02:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
139,2020-08-12 03:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
140,2020-08-12 04:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
141,2020-08-12 05:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
142,2020-08-12 06:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
143,2020-08-12 07:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
144,2020-08-12 08:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
145,2020-08-12 09:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
146,2020-08-12 10:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
147,2020-08-12 11:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
148,2020-08-12 12:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
149,2020-08-12 13:00:00,"{'eth': '303.38599274219723', 'usd': '116426.31101599999', 'eur': '98929.64675300001'}"
150,2020-08-12 14:00:00,"{'eth': '195.38166149194717', 'usd': '75239.52322599999', 'eur': '63986.625278'}"
151,2020-08-12 15:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
152,2020-08-12 16:00:00,"{'eth': '225.99556726980794', 'usd': '86697.372355', 'eur': '73656.698903'}"
153,2020-08-12 17:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
154,2020-08-12 18:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
155,2020-08-12 19:00:00,"{'eth': '2.4103824919653762', 'usd': '934.86685', 'eur': '793.979993'}"
156,2020-08-12 20:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
157,2020-08-12 21:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
158,2020-08-12 22:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
159,2020-08-12 23:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
160,2020-08-13 00:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
161,2020-08-13 01:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
162,2020-08-13 02:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
163,2020-08-13 03:00:00,"{'eth': '9.40559848598359', 'usd': '3701.479228', 'eur': '3139.776887'}"
164,2020-08-13 04:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
165,2020-08-13 05:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
166,2020-08-13 06:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
167,2020-08-13 07:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
168,2020-08-13 08:00:00,"{'eth': 0, 'usd': 0, 'eur': 0}"
