,timeStamp,volume.eth,volume.eur,volume.usd
0,1565654400000,0,0,0
1,1565740800000,0,0,0
2,1565827200000,0,0,0
3,1565913600000,0,0,0
4,1566000000000,0,0,0
5,1566086400000,0,0,0
6,1566172800000,0,0,0
7,1566259200000,0,0,0
8,1566345600000,0,0,0
9,1566432000000,0,0,0
10,1566518400000,0,0,0
11,1566604800000,0,0,0
12,1566691200000,0,0,0
13,1566777600000,0,0,0
14,1566864000000,0,0,0
15,1566950400000,0,0,0
16,1567036800000,0,0,0
17,1567123200000,0,0,0
18,1567209600000,0,0,0
19,1567296000000,0,0,0
20,1567382400000,0,0,0
21,1567468800000,0,0,0
22,1567555200000,0,0,0
23,1567641600000,0,0,0
24,1567728000000,0,0,0
25,1567814400000,0,0,0
26,1567900800000,0,0,0
27,1567987200000,0,0,0
28,1568073600000,0,0,0
29,1568160000000,0,0,0
30,1568246400000,0,0,0
31,1568332800000,0,0,0
32,1568419200000,0,0,0
33,1568505600000,0,0,0
34,1568592000000,0,0,0
35,1568678400000,0,0,0
36,1568764800000,0,0,0
37,1568851200000,0,0,0
38,1568937600000,0,0,0
39,1569024000000,0,0,0
40,1569110400000,0,0,0
41,1569196800000,0,0,0
42,1569283200000,0,0,0
43,1569369600000,0,0,0
44,1569456000000,0,0,0
45,1569542400000,0,0,0
46,1569628800000,0,0,0
47,1569715200000,0,0,0
48,1569801600000,0,0,0
49,1569888000000,0,0,0
50,1569974400000,0,0,0
51,1570060800000,0,0,0
52,1570147200000,0,0,0
53,1570233600000,0,0,0
54,1570320000000,0,0,0
55,1570406400000,0,0,0
56,1570492800000,0,0,0
57,1570579200000,0,0,0
58,1570665600000,0,0,0
59,1570752000000,0,0,0
60,1570838400000,0,0,0
61,1570924800000,0,0,0
62,1571011200000,0,0,0
63,1571097600000,0,0,0
64,1571184000000,0,0,0
65,1571270400000,0,0,0
66,1571356800000,0,0,0
67,1571443200000,0,0,0
68,1571529600000,0,0,0
69,1571616000000,0,0,0
70,1571702400000,0,0,0
71,1571788800000,0,0,0
72,1571875200000,0,0,0
73,1571961600000,0,0,0
74,1572048000000,0,0,0
75,1572134400000,0,0,0
76,1572220800000,0,0,0
77,1572307200000,0,0,0
78,1572393600000,0,0,0
79,1572480000000,0,0,0
80,1572566400000,0,0,0
81,1572652800000,0,0,0
82,1572739200000,0,0,0
83,1572825600000,0,0,0
84,1572912000000,0,0,0
85,1572998400000,0,0,0
86,1573084800000,0,0,0
87,1573171200000,0,0,0
88,1573257600000,0,0,0
89,1573344000000,0,0,0
90,1573430400000,0,0,0
91,1573516800000,0,0,0
92,1573603200000,0,0,0
93,1573689600000,0,0,0
94,1573776000000,0,0,0
95,1573862400000,0,0,0
96,1573948800000,0,0,0
97,1574035200000,0,0,0
98,1574121600000,0,0,0
99,1574208000000,0,0,0
100,1574294400000,0,0,0
101,1574380800000,0,0,0
102,1574467200000,0,0,0
103,1574553600000,0,0,0
104,1574640000000,0,0,0
105,1574726400000,0,0,0
106,1574812800000,0,0,0
107,1574899200000,0,0,0
108,1574985600000,0,0,0
109,1575072000000,0,0,0
110,1575158400000,0,0,0
111,1575244800000,0,0,0
112,1575331200000,0,0,0
113,1575417600000,0,0,0
114,1575504000000,0,0,0
115,1575590400000,0,0,0
116,1575676800000,0,0,0
117,1575763200000,0,0,0
118,1575849600000,0,0,0
119,1575936000000,0,0,0
120,1576022400000,0,0,0
121,1576108800000,0,0,0
122,1576195200000,0,0,0
123,1576281600000,0,0,0
124,1576368000000,0,0,0
125,1576454400000,0,0,0
126,1576540800000,0,0,0
127,1576627200000,0,0,0
128,1576713600000,0,0,0
129,1576800000000,0,0,0
130,1576886400000,0,0,0
131,1576972800000,0,0,0
132,1577059200000,0,0,0
133,1577145600000,0,0,0
134,1577232000000,0,0,0
135,1577318400000,0,0,0
136,1577404800000,0,0,0
137,1577491200000,0,0,0
138,1577577600000,0,0,0
139,1577664000000,0,0,0
140,1577750400000,0,0,0
141,1577836800000,0,0,0
142,1577923200000,0,0,0
143,1578009600000,0,0,0
144,1578096000000,0,0,0
145,1578182400000,0,0,0
146,1578268800000,0,0,0
147,1578355200000,0,0,0
148,1578441600000,0,0,0
149,1578528000000,0,0,0
150,1578614400000,0,0,0
151,1578700800000,0,0,0
152,1578787200000,0,0,0
153,1578873600000,0,0,0
154,1578960000000,0,0,0
155,1579046400000,0,0,0
156,1579132800000,0,0,0
157,1579219200000,0,0,0
158,1579305600000,0,0,0
159,1579392000000,0,0,0
160,1579478400000,0,0,0
161,1579564800000,0,0,0
162,1579651200000,0,0,0
163,1579737600000,0,0,0
164,1579824000000,0,0,0
165,1579910400000,0,0,0
166,1579996800000,0,0,0
167,1580083200000,0,0,0
168,1580169600000,0,0,0
169,1580256000000,0,0,0
170,1580342400000,0,0,0
171,1580428800000,0,0,0
172,1580515200000,0,0,0
173,1580601600000,0,0,0
174,1580688000000,0,0,0
175,1580774400000,0,0,0
176,1580860800000,0,0,0
177,1580947200000,0,0,0
178,1581033600000,0,0,0
179,1581120000000,0,0,0
180,1581206400000,0,0,0
181,1581292800000,0,0,0
182,1581379200000,0,0,0
183,1581465600000,0,0,0
184,1581552000000,0,0,0
185,1581638400000,0,0,0
186,1581724800000,0,0,0
187,1581811200000,0,0,0
188,1581897600000,0,0,0
189,1581984000000,0,0,0
190,1582070400000,0,0,0
191,1582156800000,0,0,0
192,1582243200000,0,0,0
193,1582329600000,0,0,0
194,1582416000000,0,0,0
195,1582502400000,0,0,0
196,1582588800000,0,0,0
197,1582675200000,0,0,0
198,1582761600000,0,0,0
199,1582848000000,0,0,0
200,1582934400000,0,0,0
201,1583020800000,0,0,0
202,1583107200000,0,0,0
203,1583193600000,0,0,0
204,1583280000000,0,0,0
205,1583366400000,0,0,0
206,1583452800000,0,0,0
207,1583539200000,0,0,0
208,1583625600000,0,0,0
209,1583712000000,0,0,0
210,1583798400000,0,0,0
211,1583884800000,0,0,0
212,1583971200000,0,0,0
213,1584057600000,0,0,0
214,1584144000000,0,0,0
215,1584230400000,0,0,0
216,1584316800000,0,0,0
217,1584403200000,0,0,0
218,1584489600000,0,0,0
219,1584576000000,0,0,0
220,1584662400000,0,0,0
221,1584748800000,0,0,0
222,1584835200000,0,0,0
223,1584921600000,0,0,0
224,1585008000000,0,0,0
225,1585094400000,0,0,0
226,1585180800000,0,0,0
227,1585267200000,0,0,0
228,1585353600000,0,0,0
229,1585440000000,0,0,0
230,1585526400000,0,0,0
231,1585612800000,0,0,0
232,1585699200000,0,0,0
233,1585785600000,0,0,0
234,1585872000000,0,0,0
235,1585958400000,0,0,0
236,1586044800000,0,0,0
237,1586131200000,0,0,0
238,1586217600000,0,0,0
239,1586304000000,0,0,0
240,1586390400000,0,0,0
241,1586476800000,0,0,0
242,1586563200000,0,0,0
243,1586649600000,0,0,0
244,1586736000000,0,0,0
245,1586822400000,0,0,0
246,1586908800000,0,0,0
247,1586995200000,0,0,0
248,1587081600000,0,0,0
249,1587168000000,0,0,0
250,1587254400000,0,0,0
251,1587340800000,0,0,0
252,1587427200000,0,0,0
253,1587513600000,0,0,0
254,1587600000000,0,0,0
255,1587686400000,0,0,0
256,1587772800000,0,0,0
257,1587859200000,0,0,0
258,1587945600000,0,0,0
259,1588032000000,0,0,0
260,1588118400000,0,0,0
261,1588204800000,0,0,0
262,1588291200000,0,0,0
263,1588377600000,0,0,0
264,1588464000000,0,0,0
265,1588550400000,0,0,0
266,1588636800000,0,0,0
267,1588723200000,0,0,0
268,1588809600000,0,0,0
269,1588896000000,0,0,0
270,1588982400000,0,0,0
271,1589068800000,0,0,0
272,1589155200000,0,0,0
273,1589241600000,0,0,0
274,1589328000000,0,0,0
275,1589414400000,0,0,0
276,1589500800000,0,0,0
277,1589587200000,0,0,0
278,1589673600000,0,0,0
279,1589760000000,0,0,0
280,1589846400000,0,0,0
281,1589932800000,0,0,0
282,1590019200000,0,0,0
283,1590105600000,0,0,0
284,1590192000000,0,0,0
285,1590278400000,0,0,0
286,1590364800000,0,0,0
287,1590451200000,0,0,0
288,1590537600000,0,0,0
289,1590624000000,0,0,0
