,avg_losses,avg_losses_nominal,worst_losses,num_sim,sim_len,mu,sigma,debt_ceiling,liquidation_penalty,collateral_cutoff,recovery_time,time_to_start_recovery,reentry_time,auction_efficiency,jump_severities_1,jump_severities_2,jump_severities_3,jump_probabilities_1,jump_probabilities_2,jump_probabilities_3
0,-7.178639880716793,-212566.08710531105,-947878.4023753484,1000,365,0,1.57,3000000.0,0.13,1.5,3,3,7,0.9,9.5,24.96,50,0.55,1.35,1.6260000000000001
1,-6.613913404971339,-195953.57803544073,-931069.9538670119,1000,365,0,1.37,3000000.0,0.13,1.5,3,3,7,0.9,9.5,24.96,50,0.55,1.35,1.6260000000000001
2,-14.140199994997605,-416135.4375234029,-1589487.6095414187,1000,365,0,1.57,3000000.0,0.13,1.5,3,3,7,0.9,15.0,30.0,55,0.55,1.35,1.6260000000000001
3,-6.930976029560616,-205315.86636004318,-1339572.9137450922,1000,365,0,1.57,3000000.0,0.13,1.5,3,3,7,0.9,9.5,24.96,50,0.55,1.35,1.6260000000000001
4,-11.27916136602722,-334223.4134249023,-1121297.574746722,1000,365,0,1.57,3000000.0,0.13,1.5,3,3,7,0.9,9.5,24.96,50,0.55,1.35,1.6260000000000001
