,avg_losses,avg_losses_nominal,worst_losses,num_sim,sim_len,mu,sigma,debt_ceiling,liquidation_penalty,collateral_cutoff,recovery_time,time_to_start_recovery,reentry_time,auction_efficiency,jump_severities_1,jump_severities_2,jump_severities_3,jump_probabilities_1,jump_probabilities_2,jump_probabilities_3
0,-2.6789851079514837,-78958.05898613237,-1075617.63388414,1000,365,0,1.57,3000000.0,0.13,1.75,3,3,7,0.9,9.5,24.96,50,0.55,1.35,1.6260000000000001
1,-2.1515440263520986,-63531.178643538566,-623824.8506987393,1000,365,0,1.37,3000000.0,0.13,1.75,3,3,7,0.9,9.5,24.96,50,0.55,1.35,1.6260000000000001
2,-7.842312867578666,-230516.710031295,-1152134.5677115715,1000,365,0,1.57,3000000.0,0.13,1.75,3,3,7,0.9,15.0,30.0,55,0.55,1.35,1.6260000000000001
3,-2.7490289685108067,-81092.40646256118,-791077.4978588438,1000,365,0,1.57,3000000.0,0.13,1.75,3,3,7,0.9,9.5,24.96,50,0.55,1.35,1.6260000000000001
4,-7.288099048113856,-215781.62905124546,-956229.7178756015,1000,365,0,1.57,3000000.0,0.13,1.75,3,3,7,0.9,9.5,24.96,50,0.55,1.35,1.6260000000000001
