datetime,openPriceUsd,closePriceUsd,highPriceUsd,lowPriceUsd,volume,marketcap
2018-08-02 03:00:00+00:00,0.2925294834,0.2915535461,0.294913,0.2901328171,1315504.0,102043741.0
2018-08-02 04:00:00+00:00,0.291878,0.291137,0.293627,0.2907984046,1306790.0,101897950.0
2018-08-02 05:00:00+00:00,0.29164380170000004,0.294030953,0.295356,0.29164380170000004,1221215.0,102910834.0
2018-08-02 06:00:00+00:00,0.2939772335,0.293077,0.2948492518,0.292031,1238710.0,102576949.0
2018-08-02 07:00:00+00:00,0.29451529190000003,0.303519,0.3038267435,0.29451529190000003,1261810.0,106231650.0
2018-08-02 08:00:00+00:00,0.3033780177,0.309193,0.3117222644,0.3033780177,1363750.0,108217550.0
2018-08-02 09:00:00+00:00,0.3068208166,0.311074,0.3116113628,0.301486,1432900.0,108875900.0
2018-08-02 10:00:00+00:00,0.3123948931,0.316191,0.317333,0.30087891040000003,1673240.0,110666850.0
2018-08-02 11:00:00+00:00,0.3165645298,0.302584,0.3165645298,0.30241963850000003,1819130.0,105904400.0
2018-08-02 12:00:00+00:00,0.30289670280000003,0.297642,0.3063176486,0.295641,1820950.0,104174700.0
2018-08-02 13:00:00+00:00,0.298707347,0.302135,0.30303,0.29736713060000003,1811820.0,105747250.0
2018-08-02 14:00:00+00:00,0.3033045633,0.307192,0.311146,0.3033045633,1819070.0,107517200.0
2018-08-02 15:00:00+00:00,0.30806779570000004,0.308081,0.3115487806,0.3066101503,1839940.0,107828350.0
2018-08-02 16:00:00+00:00,0.3082446307,0.310463,0.3105134914,0.301865321,1888610.0,108662050.0
2018-08-02 17:00:00+00:00,0.31181750140000003,0.311995,0.313494987,0.3101508294,1919490.0,109198250.0
2018-08-02 18:00:00+00:00,0.3111033626,0.306261,0.3111033626,0.3036290699,1942010.0,107191350.0
2018-08-02 19:00:00+00:00,0.3072897685,0.311548,0.311548,0.3069200554,1948490.0,109041800.0
2018-08-02 20:00:00+00:00,0.3118250759,0.30787840720000004,0.3119012174,0.307588,1962683.0,107757443.0
2018-08-02 21:00:00+00:00,0.307934,0.310917,0.311021965,0.3029681306,2052300.0,108820950.0
2018-08-02 22:00:00+00:00,0.3112271915,0.310128,0.3112271915,0.30573871280000003,2007900.0,108544800.0
2018-08-02 23:00:00+00:00,0.30900763,0.30958,0.311126,0.308625,1954190.0,108353000.0
2018-08-03 00:00:00+00:00,0.3101528435,0.2902683008,0.310153,0.289647,2038691.0,101593905.0
2018-08-03 01:00:00+00:00,0.29322,0.294273,0.2973453226,0.2900191672,1991990.0,102995550.0
2018-08-03 02:00:00+00:00,0.2912737458,0.284296,0.291591,0.2836780058,2026810.0,99503600.0
2018-08-03 03:00:00+00:00,0.2830674482,0.288291,0.290962,0.2830674482,2019290.0,100901850.0
2018-08-03 04:00:00+00:00,0.2845097567,0.2832832936,0.28451,0.28034,2103274.0,99149153.0
2018-08-03 05:00:00+00:00,0.282968,0.275597,0.2833132088,0.27457407170000003,2202590.0,96458950.0
2018-08-03 06:00:00+00:00,0.2759790131,0.278682,0.278682,0.275611,2192260.0,97538700.0
2018-08-03 07:00:00+00:00,0.2782872387,0.282298,0.282298,0.2742459798,2186420.0,98804300.0
2018-08-03 08:00:00+00:00,0.2836644137,0.294577,0.294577,0.283664,2124150.0,103101949.0
2018-08-03 09:00:00+00:00,0.2944625518,0.283572,0.294876,0.283187,2030300.0,99250200.0
2018-08-03 10:00:00+00:00,0.28374990640000003,0.280526,0.285448,0.280526,1843430.0,98184100.0
2018-08-03 11:00:00+00:00,0.2805767344,0.280646,0.282593,0.278806,1740780.0,98226100.0
2018-08-03 12:00:00+00:00,0.2805590726,0.281901,0.281901,0.276385,1730240.0,98665350.0
2018-08-03 13:00:00+00:00,0.2835252151,0.287632,0.289948958,0.283381,1684840.0,100671200.0
2018-08-03 14:00:00+00:00,0.2853208586,0.2832563289,0.285636,0.28128,1693762.0,99139715.0
2018-08-03 15:00:00+00:00,0.2828523664,0.28506,1.6147938512,0.2828523664,1633670.0,99771000.0
2018-08-03 16:00:00+00:00,0.28390169660000003,0.283947,0.287089,0.28390169660000003,1573660.0,99381450.0
2018-08-03 17:00:00+00:00,0.28452865790000004,0.289754,0.289754,0.284065,1583710.0,101413900.0
2018-08-03 18:00:00+00:00,0.2906389341,0.290946,0.293027,0.289968,1513810.0,101831100.0
2018-08-03 19:00:00+00:00,0.2896823053,0.288751,0.290861034,0.286442,1467140.0,101062850.0
2018-08-03 20:00:00+00:00,0.2892825551,0.278346,0.2896132256,0.2781286348,1516360.0,97421100.0
2018-08-03 21:00:00+00:00,0.27891616150000004,0.283211,0.2834659945,0.27891616150000004,1438860.0,99123850.0
2018-08-03 22:00:00+00:00,0.2831380088,0.284461,0.284461,0.281327,1429730.0,99561350.0
2018-08-03 23:00:00+00:00,0.2847288076,0.2848797938,0.2852129438,0.2816086846,1460135.0,99707928.0
2018-08-04 00:00:00+00:00,0.2850812949,0.284083,0.286717,0.281418,1333530.0,99429049.0
2018-08-04 01:00:00+00:00,0.2829209361,0.28431,0.2862796562,0.2824902406,1313510.0,99508500.0
2018-08-04 02:00:00+00:00,0.284671,0.282175,0.284671,0.27943354260000003,1384040.0,98761250.0
2018-08-04 03:00:00+00:00,0.2820438328,0.28271530980000004,0.283762,0.2805325394,1346422.0,98950358.0
2018-08-04 04:00:00+00:00,0.283535,0.283829,0.283829,0.2812953984,1305400.0,99340150.0
2018-08-04 05:00:00+00:00,0.2842895566,0.285677,0.286994,0.284089,1197960.0,99986950.0
2018-08-04 06:00:00+00:00,0.284433,0.279741,0.284433,0.27910362240000003,1343990.0,97909350.0
2018-08-04 07:00:00+00:00,0.2795445954,0.281998,0.282614,0.279131,1324070.0,98699300.0
2018-08-04 08:00:00+00:00,0.2821726317,0.282771,0.2832349114,0.281324,1248100.0,98969850.0
2018-08-04 09:00:00+00:00,0.283741654,0.282947,0.283742,0.281841,1254130.0,99031450.0
2018-08-04 10:00:00+00:00,0.2827775983,0.279573,0.2832736984,0.2793093292,1166650.0,97850550.0
