datetime,balance_0xe0362,balance_0x75398,balance_0x5560d,balance_0xdad22,balance_0xbe697,balance_0xf37c3,balance_nodeops,Sum_treasury,Total_supply,Circulating_supply,Treasury (% of total supply)
2017-11-12,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-13,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-14,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-15,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-16,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-17,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-18,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-19,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-20,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-21,50000000,50000000,50000000,50000000,50000000,47590421,350000000,297590421,1000000000,352409579,0.297590421
2017-11-22,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-11-23,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-11-24,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-11-25,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-11-26,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-11-27,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-11-28,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-11-29,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-11-30,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-01,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-02,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-03,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-04,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-05,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-06,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-07,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-08,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-09,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-10,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-11,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-12,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-13,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-14,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-15,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-16,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-17,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-18,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-19,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-20,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-21,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-22,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-23,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-24,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-25,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-26,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-27,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-28,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-29,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-30,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2017-12-31,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-01,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-02,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-03,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-04,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-05,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-06,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-07,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-08,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-09,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-10,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-11,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-12,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-13,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-14,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-15,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-16,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-17,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-18,50000000,50000000,50000000,50000000,50000000,42590421,350000000,292590421,1000000000,357409579,0.292590421
2018-01-19,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-01-20,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-01-21,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-01-22,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-01-23,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-01-24,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-01-25,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-01-26,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-01-27,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-01-28,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-01-29,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-01-30,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-01-31,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-02-01,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-02-02,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-02-03,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-02-04,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-02-05,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-02-06,50000000,50000000,50000000,50000000,50000000,42590421,350000010,292590421,1000000000,357409569,0.292590421
2018-02-07,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-08,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-09,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-10,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-11,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-12,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-13,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-14,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-15,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-16,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-17,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-18,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-19,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-20,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-21,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-22,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-23,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-24,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-25,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-26,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-27,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-02-28,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-01,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-02,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-03,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-04,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-05,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-06,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-07,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-08,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-09,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-10,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-11,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-12,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-13,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-14,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-15,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-16,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-17,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-18,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-19,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-20,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-21,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-22,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-23,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-24,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-25,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-26,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-27,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-28,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-29,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-30,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-03-31,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-01,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-02,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-03,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-04,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-05,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-06,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-07,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-08,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-09,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-10,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-11,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-12,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-13,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-14,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-15,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-16,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-17,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-18,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-19,50000000,50000000,50000000,50000000,50000000,40590421,350000010,290590421,1000000000,359409569,0.290590421
2018-04-20,50000000,50000000,50000000,50000000,50000000,35590421,350000010,285590421,1000000000,364409569,0.285590421
