timestamp,aave_earn_apr,aave_borrow_apr,aave_link_col_ratio,aave_link_outst_debt,aave_link_supp_vol
2020-02-11,0.0,0.0155,3.9037,2235.4026,1440703.4147
2020-02-12,0.0,0.0122,3.9854,1730.2706,1414760.3959
2020-02-13,0.0004,0.0107,4.1562,1501.8452,1404786.7889
2020-02-14,0.0006,0.0463,4.1784,6626.8452,1432729.5742
2020-02-15,0.0005,0.0447,4.3731,6443.3864,1442514.9164
2020-02-16,0.0039,0.1908,4.0882,28647.0142,1501427.5797
2020-02-17,0.0043,0.201,4.1059,30493.7626,1516945.2173
2020-02-18,0.0041,0.1965,3.9814,30493.7626,1552201.2732
2020-02-19,0.0035,0.1807,3.9697,28253.5126,1563337.4795
2020-02-20,0.0052,0.222,3.9489,35252.9381,1588078.4693
2020-02-21,0.0028,0.162,3.9426,26252.5129,1620224.2376
2020-02-22,0.0026,0.1561,3.9305,27352.4607,1752237.8996
2020-02-23,0.0027,0.1589,3.8812,28130.3098,1770699.2378
2020-02-24,0.0027,0.1584,4.0683,28145.8961,1777141.0779
2020-02-25,0.002,0.1348,3.9737,27439.1372,2035275.0781
2020-02-26,0.0034,0.1794,3.8028,37638.7403,2097784.3192
2020-02-27,0.0018,0.1267,4.0713,33945.9833,2678931.415
2020-02-28,0.0016,0.1214,3.9052,33754.1016,2780655.2862
2020-02-29,0.0017,0.1229,4.125,33583.2706,2732824.3788
2020-03-01,0.0017,0.1267,4.0755,34523.8595,2724927.3269
2020-03-02,0.0017,0.1264,4.0849,34750.0479,2750148.31
2020-03-03,0.0015,0.1172,4.2075,32317.5533,2758134.3049
2020-03-04,0.0014,0.1157,4.3359,31913.7855,2758536.9552
2020-03-05,0.0015,0.1198,4.149,32299.9964,2696974.6864
2020-03-06,0.0013,0.1113,4.332,29749.7576,2673605.3959
2020-03-07,0.0013,0.1106,4.4041,30115.4554,2723786.3484
2020-03-08,0.0012,0.1086,4.1932,30108.8958,2772593.0535
2020-03-09,0.0009,0.0902,4.3395,30549.0229,3385404.6872
2020-03-10,0.0008,0.0866,4.4239,30207.7961,3487085.9236
2020-03-11,0.0008,0.0877,4.3026,31175.7405,3555246.8546
2020-03-12,0.0007,0.078,4.4055,30845.7398,3955646.4056
2020-03-13,0.0004,0.0592,3.5942,29845.7398,5044862.716
2020-03-14,0.0004,0.0584,4.4178,29845.7398,5114515.1179
2020-03-15,0.0005,0.0593,4.4275,30075.7861,5068424.8515
2020-03-16,0.0006,0.0613,4.6467,31900.9109,5201110.2642
2020-03-17,0.0006,0.0652,4.4997,33345.913,5113096.3743
2020-03-18,0.0006,0.0651,4.4714,33315.4136,5117393.2847
2020-03-19,0.0006,0.0666,4.7747,33315.4136,5000461.6802
2020-03-20,0.0006,0.0621,5.2316,30170.5242,4857864.343
2020-03-21,0.0006,0.0609,5.4314,29875.3704,4909183.4857
2020-03-22,0.0005,0.0608,5.5243,29817.3189,4902931.8283
2020-03-23,0.0005,0.0606,5.1564,29813.9076,4917556.3218
2020-03-24,0.0005,0.0606,5.4826,29813.3003,4919514.3525
2020-03-25,0.0005,0.0606,5.4308,29813.8503,4922904.2935
2020-03-26,0.0005,0.0607,5.0899,29805.8815,4908184.7789
2020-03-27,0.0005,0.0595,5.1559,30305.9095,5090364.4495
2020-03-28,0.0005,0.0595,5.1718,30305.9095,5092050.5629
2020-03-29,0.0005,0.0564,5.192,28748.874,5096073.6169
2020-03-30,0.0005,0.0633,5.0208,32232.057,5088037.92
2020-03-31,0.0005,0.0633,5.1528,32232.088,5089189.3425
2020-04-01,0.0006,0.0654,5.1733,33287.6162,5092925.7073
2020-04-02,0.0007,0.0745,5.1562,38110.8311,5112609.0621
2020-04-03,0.0007,0.075,5.2927,38516.0655,5135650.8194
2020-04-04,0.0007,0.0733,5.345,38110.8311,5198037.3894
2020-04-05,0.001,0.0906,5.3347,47110.8311,5201446.9248
2020-04-06,0.001,0.0906,5.2613,47110.8311,5201684.2739
2020-04-07,0.0012,0.1018,5.5102,53237.7164,5227874.9453
2020-04-08,0.0016,0.1222,5.6433,63237.7706,5176522.6757
2020-04-09,0.0027,0.1615,5.8265,83394.96,5163353.6112
2020-04-10,0.0029,0.1677,5.9967,87012.4702,5187043.9263
2020-04-11,0.0037,0.19,5.6584,98725.8567,5197179.5548
2020-04-12,0.0043,0.2048,5.7848,106277.0592,5189382.5108
