datetime,Volume in USD,open,high,low,close
2020-07-31,172404486.8918551,7.41809072359,7.83040389858,7.41809072,7.77291238
2020-07-30,167135815.22918743,7.10793748662,7.5508303044,7.04704044,7.41699155
2020-07-29,144430574.02401546,7.22037702782,7.46813984611,7.03734297,7.11608294
2020-07-28,178276860.33533564,7.0934177588,7.3851379999999995,6.9516292888999995,7.22346045
2020-07-27,358774017.9543817,7.46709871924,7.46709872,6.58350803,7.0955831
2020-07-26,189030519.58988374,7.65083733622,7.8969572,7.33824252,7.49900484
2020-07-25,123108136.11480604,7.43127513663,7.76949217,7.41186116,7.65782354
2020-07-24,117765180.80856383,7.8773307826,7.89611572,7.40788751562,7.43215277
2020-07-23,214308762.0641287,7.45227539659,8.03155887,7.42285043,7.87447715
2020-07-22,182736131.5377109,7.282578224,7.58905961,7.1022777,7.46697514
2020-07-21,207238394.75897935,7.25339976083,7.64057181,7.06152983,7.28157682
2020-07-20,207792551.4438816,8.06967209239,8.10698072,7.24471013,7.2729828
2020-07-19,132019619.18365936,7.95204586754,8.1670286,7.80819312728,8.06518999
2020-07-18,228640196.81872433,8.2688150295,8.2688150295,7.79344958,7.95927977
2020-07-17,171091061.3078192,8.37644648,8.55090935858,8.21657201,8.28039298
2020-07-16,393114071.4972872,8.64042980967,8.75488067,8.05315886,8.33770628
2020-07-15,446505400.09722126,8.09608379979,8.74196262203,7.8641148265,8.64312279
2020-07-14,478210891.39996773,7.17394195655,8.25062985599,7.0424549,8.10346502
2020-07-13,652592690.6203125,7.30674115179,8.23371698596,6.97627090282,7.18229114
2020-07-12,350475769.8806395,6.11008289997,7.30918344,6.11008289997,7.30918344
2020-07-11,79019520.65503083,6.15327014,6.2406913212,6.00269083692,6.11968689
2020-07-10,143218669.75735122,6.10614182,6.16894717,5.75206929,6.13847502
2020-07-09,198938978.40341356,6.46751011,6.46751011,5.79993741,6.10431068
2020-07-08,313390943.68648535,5.72093901,6.4915921593,5.63768097,6.47572487
2020-07-07,208979559.3854109,5.34443142,5.85658084465,5.32995469,5.7128167
2020-07-06,158576767.408994,4.74269169477,5.38531604759,4.7379093152100005,5.36505325
2020-07-05,38457730.59427408,4.79695295404,4.83525702943,4.64728236872,4.74216976
2020-07-04,30912620.654655,4.73928683,4.84911284491,4.72237174,4.80455775
2020-07-03,54490665.257702574,4.84085989,4.90664120957,4.73416852,4.74328060203
2020-07-02,84506432.42643358,4.71490258,4.9126227700000005,4.67060767,4.84500392137
2020-07-01,40864684.490976445,4.57802087595,4.74047925337,4.53105401688,4.70151175404
2020-06-30,27547529.916117597,4.61960753,4.66807193,4.55408562,4.56918885
2020-06-29,44993019.3495663,4.56697561013,4.652367,4.4487809,4.61792962
2020-06-28,48003791.942829594,4.42982121137,4.62665502,4.38685512,4.5634833
2020-06-27,65013365.213346235,4.67732008,4.6948411100000005,4.37335033504,4.42655159
2020-06-26,56465912.0087028,4.81128474,4.85655816,4.66336549267,4.68080532
2020-06-25,85287892.51491073,4.71401348347,4.82443074465,4.5473699199999995,4.81104667727
