,avg_losses,avg_losses_nominal,worst_losses,num_sim,sim_len,mu,sigma,debt_ceiling,liquidation_penalty,collateral_cutoff,recovery_time,time_to_start_recovery,reentry_time,auction_efficiency,jump_severities_1,jump_severities_2,jump_severities_3,jump_probabilities_1,jump_probabilities_2,jump_probabilities_3
0,-3.9453526291684495,-116327.74691809199,-1133521.846854812,1000,365,0,1.94,3000000.0,0.13,1.75,3,3,7,0.9,9.5,24.96,50,0.55,1.35,1.6260000000000001
1,-3.627636940606074,-107128.27662626878,-946201.9261006135,1000,365,0,1.56,3000000.0,0.13,1.75,3,3,7,0.9,9.5,24.96,50,0.55,1.35,1.6260000000000001
2,-9.43223417335059,-276513.2209681443,-1398103.1651741986,1000,365,0,1.94,3000000.0,0.13,1.75,3,3,7,0.9,15.0,30.0,55,0.55,1.35,1.6260000000000001
3,-4.6556885958310685,-137039.72207924296,-1357310.8625064748,1000,365,0,1.94,3000000.0,0.13,1.75,3,3,7,0.9,9.5,24.96,50,0.55,1.35,1.6260000000000001
4,-6.701934897299832,-197814.72846091771,-1220197.4252004938,1000,365,0,1.94,3000000.0,0.13,1.75,3,3,7,0.9,9.5,24.96,50,0.55,1.35,1.6260000000000001
